Word,V.Mean.Sum,A.Mean.Sum,Number of Anagrams,Anagrams
abalone,5.3,2.65,2,"['abalone', 'balonea']"
abbey,5.85,2.2,2,"['abbey', 'bebay']"
abdomen,5.43,3.68,1,['abdomen']
abdominal,4.48,3.5,1,['abdominal']
abide,5.52,3.26,1,['abide']
abiding,5.57,3.59,1,['abiding']
ablaze,5.15,6.75,1,['ablaze']
abode,5.28,2.9,2,"['abode', 'adobe']"
abracadabra,5.11,5.27,1,['abracadabra']
abrasive,4.26,6.1,1,['abrasive']
abreast,4.62,4.61,2,"['abaters', 'abreast']"
absolute,5.43,3.48,1,['absolute']
absolve,4.58,3.53,1,['absolve']
absorb,5.5,4.27,1,['absorb']
abstain,4.4,3.1,2,"['abstain', 'bastian']"
abstract,5.25,3.96,1,['abstract']
absurd,4.45,4.02,1,['absurd']
academy,5.32,3.77,1,['academy']
accelerant,4.59,4.81,1,['accelerant']
accelerator,5.63,5,2,"['accelerator', 'retrocaecal']"
accessory,5.35,4.22,1,['accessory']
accompany,5.47,3.85,1,['accompany']
accomplice,4.6,4.5,1,['accomplice']
accordion,5.26,2.94,1,['accordion']
account,5.39,3.76,1,['account']
accountability,4.89,3.7,1,['accountability']
accountable,5.7,4.2,1,['accountable']
accountant,5.19,3.81,1,['accountant']
accounting,4.42,3.68,1,['accounting']
acorn,5.85,4.42,6,"['acorn', 'acron', 'ancor', 'coran', 'narco', 'racon']"
acquaintance,5.58,3.24,1,['acquaintance']
acquire,5.5,4.86,1,['acquire']
acquisition,5,4.36,1,['acquisition']
acquit,5.6,4.56,1,['acquit']
acre,5.53,2.73,6,"['acer', 'acre', 'care', 'cera', 'crea', 'race']"
acreage,5.25,3.74,1,['acreage']
acrylic,5.52,3.73,1,['acrylic']
act,5.64,4.19,2,"['act', 'cat']"
activate,5.7,3.78,2,"['activate', 'cavitate']"
actress,5.42,5.43,3,"['actress', 'casters', 'recasts']"
actuality,5.4,5.55,1,['actuality']
acupuncture,4.81,4.9,1,['acupuncture']
acute,5.1,5.09,1,['acute']
adage,5.55,3.38,2,"['adage', 'agade']"
adamant,5.45,5.74,1,['adamant']
adapt,5.84,3.9,1,['adapt']
adaptation,5.82,3.55,1,['adaptation']
adder,4.45,3.24,4,"['adder', 'dared', 'dread', 'readd']"
adequate,4.7,3.64,1,['adequate']
adhere,5.17,3.52,5,"['adhere', 'header', 'hedera', 'rehead', 'rhedae']"
adhesive,5.84,3.2,1,['adhesive']
Adidas,5.77,4.18,0,[]
adjacent,5.15,2.78,1,['adjacent']
adjoining,5.06,3.52,1,['adjoining']
adjourn,5.5,3.15,1,['adjourn']
adjust,5.76,3,1,['adjust']
adjuster,4.25,3.5,2,"['adjuster', 'readjust']"
adjustment,5.53,4.59,1,['adjustment']
admin,4.37,3.64,4,"['admin', 'dimna', 'mandi', 'manid']"
administer,4.4,3.86,1,['administer']
administration,4.45,3.23,1,['administration']
administrative,4.79,3.21,1,['administrative']
administrator,5.32,4.74,1,['administrator']
admiral,4.8,4.05,2,"['admiral', 'amildar']"
admissible,5.16,2.9,1,['admissible']
admit,5.56,3.35,2,"['admit', 'atmid']"
ado,4.82,3.33,5,"['ado', 'dao', 'doa', 'oad', 'oda']"
adobe,5.25,3.89,2,"['abode', 'adobe']"
adolescent,5.38,4.2,1,['adolescent']
adoptive,5.67,4.4,1,['adoptive']
adrift,4.36,3.19,1,['adrift']
adulthood,5.05,4.28,1,['adulthood']
adversary,4.55,4.41,1,['adversary']
adversity,4.26,3.82,1,['adversity']
advertise,5.16,4.29,2,"['advertise', 'derivates']"
advertisement,4.3,4.14,1,['advertisement']
advertising,4.68,3.25,1,['advertising']
advice,5.78,3.05,2,"['advice', 'vedaic']"
advisable,5.62,4.36,1,['advisable']
advise,5.44,3.38,3,"['advise', 'davies', 'visaed']"
advisement,4.55,4.04,1,['advisement']
adviser,5.68,3.36,1,['adviser']
advisor,4.74,3.19,1,['advisor']
advisory,4.95,4.05,1,['advisory']
advocate,5.25,4.59,1,['advocate']
aerospace,5.79,4.52,1,['aerospace']
aesthetic,5.43,2.88,3,"['aestethic', 'aesthetic', 'chaetites']"
affect,5.65,3.61,1,['affect']
affidavit,4.38,3.73,1,['affidavit']
affiliation,5.32,3.9,1,['affiliation']
affront,4.53,4.5,1,['affront']
afloat,5.57,4.13,1,['afloat']
aforementioned,5.21,3.5,1,['aforementioned']
afterlife,5.53,4.32,1,['afterlife']
aftermath,4.29,5.38,2,"['aftermath', 'hamfatter']"
aftershave,5.55,3.5,1,['aftershave']
age,5.78,3.71,2,"['age', 'gae']"
agency,5.14,3.17,1,['agency']
agenda,5.05,3.62,2,"['agenda', 'gadean']"
agent,5.23,3.43,2,"['agent', 'etang']"
aglow,5.84,4.83,1,['aglow']
agricultural,5.5,3.55,1,['agricultural']
ahoy,5.58,3.95,2,"['ahoy', 'hoya']"
aide,5.6,4,4,"['aide', 'deia', 'eadi', 'idea']"
airbag,5.4,3.64,3,"['airbag', 'gabari', 'gariba']"
airborne,5.25,3.52,1,['airborne']
aircraft carrier,5.25,4.64,0,[]
airfield,5.74,4.38,1,['airfield']
airline,5.36,4.12,1,['airline']
airlock,4.85,4.23,1,['airlock']
airplane,5.25,5.62,2,"['airplane', 'perianal']"
airship,5.63,4.88,1,['airship']
airspace,5.5,4.4,2,"['airscape', 'airspace']"
airspeed,4.95,4.33,1,['airspeed']
airstrip,4.76,3.83,1,['airstrip']
airtight,5.1,3.3,1,['airtight']
airway,4.95,4,1,['airway']
aisle,5.17,2.5,2,"['aisle', 'elias']"
ajar,5,3.26,3,"['ajar', 'jara', 'raja']"
aka,4.63,3.39,1,['aka']
alabaster,5.5,3.95,1,['alabaster']
albatross,5.68,3.09,1,['albatross']
albino,4.9,3.09,4,"['albino', 'albion', 'alboin', 'oliban']"
alcove,5.5,3.32,3,"['alcove', 'coeval', 'volcae']"
alderman,4.44,3.05,3,"['alderman', 'almander', 'malander']"
alert,5.38,5.14,8,"['alert', 'alter', 'artel', 'later', 'ratel', 'retal', 'taler', 'telar']"
alfalfa,4.79,3.67,1,['alfalfa']
algebra,5.4,4.6,2,"['algebar', 'algebra']"
algorithm,5.3,3.7,2,"['algorithm', 'logarithm']"
alias,5,4.71,1,['alias']
alibi,4.16,4.5,2,"['alibi', 'biali']"
alien,4.45,4.86,8,"['alien', 'aline', 'anile', 'elain', 'elian', 'laine', 'liane', 'linea']"
alight,5.67,3.86,1,['alight']
allegiance,5.8,5.17,1,['allegiance']
allegro,5,3.89,1,['allegro']
alley,4.17,4.08,2,"['alley', 'elayl']"
alligator,4.23,5.36,1,['alligator']
alloy,5.2,3.32,2,"['alloy', 'loyal']"
almanac,5.55,3.24,2,"['almanac', 'mancala']"
aloof,4.59,3.09,2,"['aloof', 'loofa']"
alpha,5.5,3.67,1,['alpha']
alpine,5.84,3.52,4,"['alpine', 'nepali', 'penial', 'pineal']"
altar,5.59,4.05,4,"['altar', 'artal', 'ratal', 'talar']"
altar boy,4.76,3.11,0,[]
alter,4.57,4.17,8,"['alert', 'alter', 'artel', 'later', 'ratel', 'retal', 'taler', 'telar']"
alteration,5.05,4.05,1,['alteration']
alternate,5.15,3.48,1,['alternate']
alternating,5.37,4.27,1,['alternating']
alternative,5.33,3.61,1,['alternative']
altimeter,4.5,3.61,1,['altimeter']
altitude,5.27,4.15,2,"['altitude', 'latitude']"
aluminum,5.1,4.05,1,['aluminum']
alumnus,4.95,3.23,1,['alumnus']
amateur,4.58,3.55,1,['amateur']
ambassador,5.5,3.91,1,['ambassador']
ambiguous,5.16,4,1,['ambiguous']
amend,5.85,3.06,6,"['admen', 'amend', 'mande', 'maned', 'menad', 'named']"
amendment,5.6,3.5,1,['amendment']
amino,4.45,3.83,6,"['amino', 'animo', 'inoma', 'naomi', 'omani', 'omina']"
ammo,4.18,5.53,2,"['ammo', 'mamo']"
ammunition,4.59,5.7,2,"['ammunition', 'antimonium']"
amnesty,5.38,3.86,1,['amnesty']
amount,5.42,3.53,3,"['amount', 'moutan', 'outman']"
amp,5.79,5.05,3,"['amp', 'map', 'pam']"
amphibian,5.4,3.35,1,['amphibian']
amphibious,5.75,5.7,1,['amphibious']
amulet,5.75,3.95,3,"['amulet', 'muleta', 'ulmate']"
anaconda,4.43,6,1,['anaconda']
anagram,4.37,3.86,1,['anagram']
analogy,5.24,3.95,1,['analogy']
analysis,5.25,3.74,1,['analysis']
analyst,5,3.24,1,['analyst']
analyze,5.65,4.1,1,['analyze']
analyzer,4.62,3.48,1,['analyzer']
anchor,5.16,3.32,4,"['anchor', 'archon', 'charon', 'rancho']"
anchorage,5.09,3.82,1,['anchorage']
android,5.62,3.5,1,['android']
anecdote,5.62,4.65,1,['anecdote']
anesthesia,4.84,3.64,1,['anesthesia']
anesthesiologist,4.95,3.56,1,['anesthesiologist']
anesthetic,5.48,3.23,1,['anesthetic']
angiogram,4.19,3.61,1,['angiogram']
angle,4.55,3.22,8,"['agnel', 'angel', 'angle', 'galen', 'genal', 'glean', 'lagen', 'nagel']"
angora,5.63,2.95,7,"['agroan', 'angora', 'anogra', 'arango', 'argoan', 'onagra', 'organa']"
ankle,5.4,3.11,1,['ankle']
anklet,4.75,3.57,3,"['anklet', 'lanket', 'tankle']"
annals,4.8,2.6,1,['annals']
annex,4.41,4,1,['annex']
announce,5.52,3.65,1,['announce']
announcement,5.81,4.3,1,['announcement']
announcer,5.84,4.5,1,['announcer']
annual,5.19,3.7,1,['annual']
anointed,4.79,3.32,3,"['anointed', 'antinode', 'innodate']"
anomaly,4.84,4.25,1,['anomaly']
anonymity,4.81,3.29,1,['anonymity']
anonymous,5.75,4.13,1,['anonymous']
antagonistic,4.32,4.11,1,['antagonistic']
antelope,5.68,4.46,1,['antelope']
antenna,5.43,3.15,1,['antenna']
anterior,4.89,3.36,1,['anterior']
anthill,4.32,4.63,2,"['anthill', 'thallin']"
anthropological,5.53,3.82,1,['anthropological']
anthropologist,5.7,3.27,1,['anthropologist']
anthropology,5.3,2.91,1,['anthropology']
anti,4.47,4.23,5,"['aint', 'anti', 'inta', 'tain', 'tina']"
antiaircraft,4.85,4.6,1,['antiaircraft']
antibiotics,5.05,4.05,1,['antibiotics']
anticipation,5.26,5.39,1,['anticipation']
antigravity,5.74,5.1,1,['antigravity']
antiquated,5,4.95,2,"['antiquated', 'aquatinted']"
antiseptic,4.57,3.15,2,"['antiseptic', 'psittacine']"
antsy,4.36,5.23,5,"['antsy', 'nasty', 'santy', 'styan', 'tansy']"
anvil,5.05,4.4,4,"['alvin', 'anvil', 'nival', 'vinal']"
anytime,5.81,4.6,2,"['amenity', 'anytime']"
aorta,4.35,3.64,1,['aorta']
aortic,4.25,3.5,2,"['aortic', 'corita']"
apache,5.2,3.7,2,"['achape', 'apache']"
apartment,5.72,3.8,1,['apartment']
apartments,5,3.28,1,['apartments']
ape,5.21,4.25,3,"['ape', 'epa', 'pea']"
apex,5.52,3.48,1,['apex']
apologize,4.94,3.52,1,['apologize']
apostle,5.5,4.38,3,"['apostle', 'aseptol', 'pelotas']"
apothecary,5.48,4.23,1,['apothecary']
apparatus,5.5,4,1,['apparatus']
apparel,5.38,4.3,1,['apparel']
apparent,4.96,3.19,2,"['apparent', 'trappean']"
apparition,4.85,4.82,1,['apparition']
appear,5.25,3.24,1,['appear']
appendage,4.23,4.35,1,['appendage']
appendix,4.81,2.92,1,['appendix']
applejack,5.79,3.8,1,['applejack']
appliance,5.15,2.84,1,['appliance']
applicant,4.91,3.96,1,['applicant']
application,5.05,4.52,1,['application']
apply,5.16,3.24,1,['apply']
appointment,4.43,4.8,1,['appointment']
appraisal,5.09,4.09,1,['appraisal']
apprehension,4.15,4.23,1,['apprehension']
approach,5.45,4.48,1,['approach']
approximate,5.26,3.82,1,['approximate']
apron,5.8,2.9,1,['apron']
apt,5.64,4.05,4,"['apt', 'pat', 'pta', 'tap']"
arbitrary,4.15,4.55,1,['arbitrary']
arcane,5.25,3.61,2,"['arcane', 'carane']"
arch,5.8,3.15,3,"['arch', 'char', 'rach']"
archaeologist,5.42,4.14,1,['archaeologist']
archaic,4.5,4.38,3,"['arachic', 'archaic', 'charcia']"
archbishop,4.71,3.78,1,['archbishop']
archduke,4.15,3.56,1,['archduke']
archery,5.25,4.39,1,['archery']
archive,4.81,4.18,1,['archive']
arctic,4.45,3.88,1,['arctic']
ardent,4.95,4.62,3,"['adrent', 'ardent', 'ranted']"
area,5.56,2.19,1,['area']
arena,5.75,4.23,3,"['anear', 'arean', 'arena']"
aristocracy,5.21,4.15,1,['aristocracy']
aristocrat,4.28,3.6,1,['aristocrat']
aristocratic,5.79,3.18,1,['aristocratic']
arithmetic,4.95,4,1,['arithmetic']
arm,5.44,3.44,3,"['arm', 'mar', 'ram']"
armada,4.6,3.29,3,"['armada', 'damara', 'ramada']"
armament,5.05,4.65,1,['armament']
armchair,5.67,2.75,1,['armchair']
armored,5.67,3.52,1,['armored']
armory,5.25,4.48,1,['armory']
army,4.65,4.49,4,"['army', 'yarm', 'mary', 'myra']"
arrange,5.15,3.57,1,['arrange']
arrangement,5.71,3,1,['arrangement']
arrow,5.24,3.91,1,['arrow']
arsenal,4.45,5.48,2,"['arsenal', 'ranales']"
artery,4.29,4.09,2,"['artery', 'rarety']"
artichoke,5.3,3.5,1,['artichoke']
article,5.68,3.5,2,"['article', 'recital']"
ascendant,5.29,3.23,2,"['adnascent', 'ascendant']"
ascending,5.14,3.73,1,['ascending']
